type,id,project_id,submitter_id,assay_instrument,assay_instrument_model,assay_method,assay_instrument_mode,assay_kit_name,assay_kit_vendor,assay_kit_version,cell_concentration,cell_count,experimental_step,molecular_concentration,analytes.id,analytes.submitter_id
quantification_assay,92aca028-515e-4245-9a54-9a8c3ce14de9,bpa-USC_OPT1_T1,09CCD02_ctc_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,0,,,0,95b40e29-3fc9-4d2a-8fb5-603287d174b3,09CCD02_ctc_concentration
quantification_assay,ee774018-5b79-4bc5-aeb8-4f35890c4065,bpa-USC_OPT1_T1,09CCD02_ctc_low_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,9.671019051,,,9.671019051,2b3468fe-71c5-4022-a4bd-b78cfb1a70c7,09CCD02_ctc_low_concentration
quantification_assay,2fd29fef-63aa-455a-9d70-6e300e7ca0d7,bpa-USC_OPT1_T1,09CCD02_ctc_small_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,0,,,0,2fb0a58c-ec27-498c-947a-cc3a91e70702,09CCD02_ctc_small_concentration
quantification_assay,6634916b-0239-455b-951c-36a0a7bb35f4,bpa-USC_OPT1_T1,09D9A01_wbc_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,10300000,,,e01370d5-4b98-4b13-bfdb-1b3f87939579,09D9A01_wbc_count
quantification_assay,42e4e0a3-bece-42d3-8e7f-74981580cbfe,bpa-USC_OPT1_T1,09D9A01_nucleated_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,1761150,,,2d276a77-0117-45a2-9cb9-d23101dd82b7,09D9A01_nucleated_count
quantification_assay,47ab669f-5f50-400e-998e-9d7800e2422f,bpa-USC_OPT1_T1,09D9A01_ctc_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,0,,,0,5b9165d4-c6b0-4cb8-ad4f-f86b2e24cd05,09D9A01_ctc_concentration
quantification_assay,ef71c361-0144-4ecb-bbe1-582916677011,bpa-USC_OPT1_T1,09D9A01_ctc_low_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,60.1585393,,,60.1585393,4e6b9bbe-c349-44ca-8733-4df0becb82b2,09D9A01_ctc_low_concentration
quantification_assay,fa84b72c-cef9-4d2c-9de1-61f1457c4ea3,bpa-USC_OPT1_T1,09D9A01_ctc_small_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,0,,,0,ee0db43f-9f88-4e85-bdcb-aa6cbb7f0588,09D9A01_ctc_small_concentration
quantification_assay,e5c0bb89-f2fa-42f4-b7df-087dc71c5e25,bpa-USC_OPT1_T1,09D9A02_wbc_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,10300000,,,0066a632-b9a5-4e6e-b988-8da642bd5b01,09D9A02_wbc_count
quantification_assay,b735c0ff-b5e8-4ae8-a3a2-79eee03d57b1,bpa-USC_OPT1_T1,09D9A02_nucleated_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,1761150,,,21eb6d55-73f2-4aca-813a-dc9ae2261e0c,09D9A02_nucleated_count
